,FirstName,LastName,Country,Club,Position,Age,Acceleration,Aggression,Finishing,FreeKickAccuracy,LongPassing,LongShots,Penalties,ShortPassing,SprintSpeed,Quality
0,Luka,Modrić,Croatia,Real Madrid,Centre Midfielder,33,94,83,89,85,96,99,99,99,85,gold
1,Lionel,Messi,Argentina,FC Barcelona,Centre Forward,31,99,66,99,99,96,99,81,99,94,gold
2,Sergio,Ramos García,Spain,Real Madrid,Centre Back,32,86,96,76,83,90,69,86,97,85,gold
3,Raphaël,Varane,France,Real Madrid,Centre Back,25,88,88,62,72,99,82,66,99,91,gold
4,Lionel,Messi,Argentina,FC Barcelona,Striker,31,93,51,97,98,90,96,76,94,87,gold
5,Lionel,Messi,Argentina,FC Barcelona,Striker,31,93,51,97,98,90,96,76,94,87,gold
6,Lionel,Messi,Argentina,FC Barcelona,Centre Forward,31,92,48,96,95,87,95,75,91,86,gold
7,Lionel,Messi,Argentina,FC Barcelona,Right Wing,31,92,50,96,96,88,95,75,92,86,gold
8,Lionel,Messi,Argentina,FC Barcelona,Centre Forward,31,91,48,95,94,87,94,75,90,86,gold
9,Marcelo,Vieira da Silva,Brazil,Real Madrid,Left Back,30,91,93,76,75,86,79,67,95,90,gold
10,Luis,Suárez,Uruguay,FC Barcelona,Striker,31,89,89,96,88,67,86,86,86,77,gold
11,Luis,Suárez,Uruguay,FC Barcelona,Striker,31,88,90,96,88,67,86,86,86,76,gold
12,Luis,Suárez,Uruguay,FC Barcelona,Striker,31,88,90,96,88,67,86,86,86,76,gold
13,Sergio,Ramos García,Spain,Real Madrid,Centre Back,32,77,85,60,67,73,55,69,79,76,gold
14,Luis,Suárez,Uruguay,FC Barcelona,Striker,31,87,88,95,85,64,85,85,83,75,gold
15,Luka,Modrić,Croatia,Real Madrid,Centre Midfielder,33,81,62,72,78,88,83,83,94,72,gold
16,Luis,Suárez,Uruguay,FC Barcelona,Striker,31,87,88,95,86,65,85,85,84,75,gold
17,Gareth,Bale,Wales,Real Madrid,Right Wing,29,95,70,90,92,84,96,80,90,97,gold
18,Luis,Suárez,Uruguay,FC Barcelona,Striker,31,87,88,95,86,65,85,85,84,75,gold
19,Sergio,Ramos García,Spain,Real Madrid,Centre Back,32,76,84,60,67,72,55,68,78,75,gold
20,Luis,Suárez,Uruguay,FC Barcelona,Striker,31,86,87,94,84,64,85,85,82,75,gold
21,Luka,Modrić,Croatia,Real Madrid,Centre Midfielder,33,80,62,72,78,88,82,82,93,72,gold
22,Diego,Godín,Uruguay,Atlético Madrid,Centre Back,32,69,89,42,51,71,43,51,80,69,gold
23,Toni,Kroos,Germany,Real Madrid,Centre Midfielder,29,69,60,76,84,94,93,73,93,66,gold
24,Thibaut,Courtois,Belgium,Real Madrid,Goalkeeper,26,47,23,14,20,35,17,27,33,53,gold
25,Jan,Oblak,Slovenia,Atlético Madrid,Goalkeeper,26,44,34,11,14,26,12,11,29,61,gold
26,Diego,Godín,Uruguay,Atlético Madrid,Centre Back,32,70,89,43,52,72,44,52,81,70,gold
27,Toni,Kroos,Germany,Real Madrid,Centre Midfielder,29,71,60,77,84,94,94,74,93,68,gold
28,Diego,Godín,Uruguay,Atlético Madrid,Centre Back,32,70,89,43,52,72,44,52,81,70,gold
29,Antoine,Griezmann,France,Atlético Madrid,Striker,27,90,71,95,79,79,84,76,86,86,gold
30,Francisco Román,Alarcón Suárez,Spain,Real Madrid,Centre Attacking Midfielder,26,78,60,87,75,85,91,77,91,71,gold
31,Antoine,Griezmann,France,Atlético Madrid,Striker,27,92,72,95,78,78,84,76,85,88,gold
32,Antoine,Griezmann,France,Atlético Madrid,Striker,27,92,72,95,78,78,84,76,85,88,gold
33,Diego,Godín,Uruguay,Atlético Madrid,Centre Back,32,68,88,42,51,70,43,50,79,68,gold
34,Toni,Kroos,Germany,Real Madrid,Centre Midfielder,29,68,60,76,84,93,92,73,92,66,gold
35,Thibaut,Courtois,Belgium,Real Madrid,Goalkeeper,26,46,23,14,20,35,17,27,33,52,gold
36,Jan,Oblak,Slovenia,Atlético Madrid,Goalkeeper,26,43,34,11,14,26,12,11,29,60,gold
37,Marc-André,ter Stegen,Germany,FC Barcelona,Goalkeeper,26,39,43,14,12,38,10,25,30,51,gold
38,Antoine,Griezmann,France,Atlético Madrid,Striker,27,89,69,93,76,76,82,74,83,85,gold
39,Francisco Román,Alarcón Suárez,Spain,Real Madrid,Centre Attacking Midfielder,26,76,58,86,74,84,90,76,90,69,gold
40,Philippe,Coutinho Correia,Brazil,FC Barcelona,Left Wing,26,91,57,78,88,82,95,71,90,76,gold
41,Antoine,Griezmann,France,Atlético Madrid,Striker,27,90,71,93,76,76,82,74,83,86,gold
